SYMBOL,"SUM OPTSTK,CE1","SUM OPTSTK,PE1","SUM FUTSTK,XX1","SUM FUTSTK,XX2","SUM FUTSTK,XX3","SUM FUTSTK,XX4","SUM FUTSTK,XX5","SUM FUTSTK,XX6","SUM FUTSTK,XX7","SUM FUTSTK,XX8","SUM FUTSTK,XX9","SUM FUTSTK,XX10","SUM AVG,VAL_INLAKH1","SUM AVG,VAL_INLAKH2","SUM AVG,VAL_INLAKH3","SUM AVG,VAL_INLAKH4","SUM AVG,VAL_INLAKH5","SUM AVG,VAL_INLAKH6","SUM AVG,VAL_INLAKH7","SUM AVG,VAL_INLAKH8","SUM AVG,VAL_INLAKH9","SUM AVG,VAL_INLAKH10","SUM OPTIDX,CE1","SUM OPTIDX,PE1","SUM FUTIDX,XX1","SUM %OICOPTSTK,CE1","SUM %OICOPTSTK,PE1","SUM %OICFUTSTK,XX1","SUM %OICOPTIDX,CE1","SUM %OICOPTIDX,PE1","SUM %OICFUTIDX,XX1","SUM PCROPTSTK1"
IGL,2906750,1936000,10214875,10612250,10428000,10495375,10898250,9869750,8123500,8111125,3946250,2435125,9915.029999999999,-12516.95,-12142.07,-18456.44,-36800.490000000005,45173.630000000005,-2328.38,37398.16,-12559.71,4845.22,0,0,0,1.0257,-0.3491,0.0002,0.0000,0.0000,0.0000,0.6660
INDHOTEL,6998280,4367892,30070384,29428930,28423452,26955422,27112302,23870570,16743586,15979406,7456788,2891818,-26820.68,-49363.69,39923.619999999995,-15415.490000000002,-36357.2,43605.22,-5025.16,-38137.56,22890.61,4465.24,0,0,0,8.8095,2.7909,1.3475,0.0000,0.0000,0.0000,0.6241
INDIACEM,7105000,2931900,14708800,12838300,12826700,11933500,11420200,8485400,2737600,2328700,2427300,2485300,38330.27,-11744.14,-18220.33,10271.210000000001,-21343.88,29668.36,2548.37,-242.16,122.60999999999999,20.05,0,0,0,43.5805,15.8766,2.1580,0.0000,0.0000,0.0000,0.4127
INDIAMART,86250,33450,286650,283950,260400,246900,235650,174000,148500,146400,112500,88050,-3252.13,-5957.45,7473.760000000001,-4340.910000000001,11376.300000000001,7341.419999999999,-459.81,-4790.98,5235.16,1372.1299999999999,0,0,0,0.5285,1.4953,0.1311,0.0000,0.0000,0.0000,0.3878
INDIGO,772800,476100,4192500,4223700,4074000,3966000,3942300,3108300,1653000,1620900,809100,308400,-19435.91,24889.25,13967.16,-9814.57,31070.129999999997,36906.479999999996,-1599.8,-19903.76,13165.68,4485.97,0,0,0,6.2514,8.1097,1.2089,0.0000,0.0000,0.0000,0.6161
INDUSINDBK,8906400,5742450,27445500,27486000,27588150,27248400,27380700,23252400,14854500,14694300,10325700,5319900,-43991.28,52729.01,-43201.899999999994,63622.3,-126399.25,153649.9,-9621,-93326.32,108786.44,29991.36,0,0,0,4.5814,3.1186,0.3696,0.0000,0.0000,0.0000,0.6448
INDUSTOWER,5709200,3934000,18516400,17766000,18104800,17234000,16226000,14655200,9394000,9388400,5101600,2545200,-5896.3099999999995,-6105.74,5601.95,-9606.18,-11148.34,16050.36,-693.4200000000001,16446.47,-8888.73,3131.29,0,0,0,5.1644,5.4723,1.0182,0.0000,0.0000,0.0000,0.6891
INFY,7310600,5053600,28651000,28612300,29223900,29071200,29211300,29199600,22481400,22748700,15535200,8031600,-68378.34000000001,132922.46000000002,106774.69,-56107.4,186398.71000000002,-166391.09,18632.03,-143654.28,135248.09,67905.68999999999,0,0,0,17.1683,0.3819,0.6152,0.0000,0.0000,0.0000,0.6913
INTELLECT,3435000,1406250,3893750,3767750,3242250,1726500,1721250,1229250,684750,681750,243000,174750,-5113.1,-9464.210000000001,24315.64,-1700.75,6053.07,5487.780000000001,-183.96,3833.4300000000003,-980.6,365.34999999999997,0,0,0,2.7013,4.0909,0.3495,0.0000,0.0000,0.0000,0.4094
IOC,35568000,21840000,80993250,81237000,80252250,78380250,76508250,56608500,39516750,38210250,22327500,14332500,5043.01,-7329.21,-8513.679999999998,10570.46,-34497.98,27057.34,-1884.21,-19156.75,14427.66,3636.78,0,0,0,7.0491,5.1479,0.3981,0.0000,0.0000,0.0000,0.6140
